question,answer,id,source
what county is Stratton Maine in,Stratton is in Franklin County  Maine ,76d23487-98d5-4493-a604-b13bd6d46cca,MSMARCO
what airport is in Wilder Kentucky,The closest airport to Wilder  KY  United States is Cincinnati Northern Kentucky International Airport  CVG  ,eacd499d-f6c3-4966-b8ce-a77b504d4d9b,MSMARCO
what airport is near where ncl Docks in New York,No Answer Present ,ed0af7c2-13f2-46a0-9450-255798239d65,MSMARCO
what Alabama county is Guntersville in,Guntersville  Alabama is in Marshall County ,0f296c17-efb6-4892-af81-0bf2ae723b55,MSMARCO
what are some music venues in Cleveland,Night town  Home of the Rock and Roll Hall of Fame and Museum are the music venues in Cleveland ,f0726c1b-1c2e-4528-8db0-e2101108a43a,MSMARCO
what are the best ariports in southern Utah,No Answer Present ,0845b070-6c68-4990-aea2-8c896ce7d745,MSMARCO
what area is the Revere Hotel in,The Revere Hotel is at the edge of the Theatre District  It is one block from the Arlington T Station and two blocks from Boston Common and the Public Garden ,3a1d5e62-1415-40dd-b101-9995b8325799,MSMARCO
what bay is Aberdeen Proving Ground near,The Top of The Bay is near to Aberdeen Proving Ground ,b3c2d85d-306f-41b5-b10e-081a48b11aaf,MSMARCO
what beach would be good in Texas,East beach would be good in Texas ,c06a1d6b-2801-4c3e-804b-f0b3c047008c,MSMARCO
what building code does Michigan use,No Answer Present ,3ac77bfa-3efe-4fbf-8528-f1174fb55719,MSMARCO
what business is closing in Kansas City,In Kansas City  Crown Center management is closing three landmark Kansas City restaurants ,a9ee2a00-8bc9-46d7-967b-ca00978890f5,MSMARCO
what city are in Venango County,Venango County includes two cities  Oil and Franklin ,1f42b26d-e8fd-4715-8dd3-6902804fff0b,MSMARCO
what city are the concentration camp in Poland,The concentration camps are located near the industrial town of Oświęcim in southern Poland ,e174b429-5ea3-43b4-8003-c866fa120966,MSMARCO
what city is Big Creek Oregon,No Answer Present ,cb8c7ed6-5c50-4cc2-9923-fcfa4a821c85,MSMARCO
what city is Olongapo City,Olongapo City is a 1st class highly urbanized city in Central Luzon  Philippines ,ca1496ec-d972-4f4f-b9e0-2fa9ff025761,MSMARCO
what city is Pine Grove,Pine Grove is a census designated place in Amador County  California  It lies at an elevation of 2513 feet  The population was 2 219 at the 2010 census  It is located at 38 24 47 N 120 39 32 W   38 41306 N 120 65889 W   38 41306   120 65889  along State Route 88 ,4dfa857e-b9e1-47d0-a22b-dd4c8619c0cb,MSMARCO
what city is Shelby County,Shelby County is part of the Memphis ,72380681-acdb-4171-a5bd-d86a4dc4807c,MSMARCO
what city is St Clair county Illinois,No Answer Present ,a3c80a16-a706-40a9-9773-9d74188be822,MSMARCO
what city is State Fair Community College in Missouri,State Fair Community College is located in Sedalia  Missouri ,6095747c-08bc-40fb-9c9e-44f2d29c7908,MSMARCO
what city is the Jersey Shore Boardwalk in,No Answer Present ,38d7e873-d78d-43a1-aad9-6429e877313d,MSMARCO
what city were Bonnie and Clyde killed in,Bonnie and Clyde were killed in Louisiana ,6d76d1e6-905e-4081-86f7-89f2bd546903,MSMARCO
what continent is mount Merapi in,No Answer Present ,7fb1724d-7082-4114-a398-3abc6d986112,MSMARCO
what continent is Nicaragua located,Nicaragua is in the continent North America ,50ee5718-433c-4082-9d2f-b95ca305c8da,MSMARCO
what county are the Amish from,The Amish population is in Lancaster County ,0c62977a-4f33-4d20-a96b-c32b6fcf82ee,MSMARCO
what county Brisbane California,Brisbane is in San Mateo County  California ,d4b17ce1-69e2-4d85-9255-33f912007809,MSMARCO
what county Frytown Iowa,Frytown is in Johnson County  Iowa ,1b23305b-335e-4abd-8933-1f33275b64b6,MSMARCO
what county hurricane West Virginia,Hurricane is a city in Putnam County  West Virginia  U S ,1cc4d336-1a2f-4a5b-b082-5d2d7f98a826,MSMARCO
what county in North Carolina is Ivanhoe located,Ivanhoe is in Bladen County North Carolina ,45c52948-f05a-49fa-ae72-94931e25688a,MSMARCO
what county in pennsylvania is Etna,Etna is in Allegheny County  Pennsylvania ,9da498c7-0e3a-4bec-a1f5-f81dfbf574fc,MSMARCO
what county in Tennessee Collinwood,Collinwood is in Wayne County  Tennessee ,978936f2-6770-4f93-a4e2-5f6c31ac8bbe,MSMARCO
what county in Tennessee Elizabethton,Elizabethton is located in Carter County ,2991b853-3497-42b8-86ce-4e5607cf22b5,MSMARCO
what county in Tennessee Summertown,Summertown is an unincorporated community in Lawrence County  Tennessee  USA ,406b1575-3d50-43af-be54-db16f946601a,MSMARCO
what county is Ackerly Texas in,Ackerly is in Dawson county  Texas ,56d9b8ab-6e8e-4ef1-9f34-55ebb27f6404,MSMARCO
what county is ada Michigan in,Ada is in Kent County  Michigan ,1d802b41-ebd9-4e32-b8b6-a6f846716b79,MSMARCO
what county is Affton Missouri located in,Affton is located in St  Louis County  Missouri ,77336d3e-2ddf-4c0e-8d5a-2c0202e93272,MSMARCO
what county is Albany Missouri,Albany is a city and county seat of Gentry County  Missouri  United States ,da69cb43-e23c-4c58-a5c0-f3c8bb10ee8e,MSMARCO
what county is Amazonia Missouri,Amazonia is a part of Andrew County ,d318f124-76f8-4865-9adb-ea6f32fd7a35,MSMARCO
what county is Amsterdam New York,Amsterdam  New York is in Montgomery County ,aaa1762a-5e7c-4865-9b5d-228f0e18aad2,MSMARCO
what county is Arlington South Dakota in,Arlington is located in Brookings County  South Dakota ,1e5a6704-1f6c-4c90-84f0-4f35a4a7a7bc,MSMARCO
what county is Ashby Massachusetts,Ashby is in Middlesex County  Massachusetts ,ca23da13-4095-4f49-9f97-4df304ca336f,MSMARCO
what county is Athens Alabama,Athens is in Limestone County  Alabama ,cf2744c4-ab72-4f23-a4c1-d265bfc8af0b,MSMARCO
what county is avon New York in,Avon  New York is in Livingston County ,bcc10a04-3662-4e89-ae6f-f810dd2a88e0,MSMARCO
what county is Bangor Washington in,Bangor is located in Kitsap County  Washington  United States ,047df711-0287-4231-8d48-5446026a9aaf,MSMARCO
what county is Barre Massachusetts,Barre is located in Worcester County  Massachusetts ,b9ff0771-cd3d-4495-a3cc-8b06d5e517fb,MSMARCO
what county is Bates City Missouri in,Bates City is in Lafayette County  Missouri ,7d1797fa-b754-4908-84d5-8f8cb9cc42a9,MSMARCO
